company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,number_of_technologies,annual_rev
/organization/mediabank,Mediaocean,http://www.mediaocean.com,Advertising|Software,40500000.0,acquired,USA,New York,3,2006-01-01 00:00:00.000000000,2007-07-23,2008-07-22,568 days 00:00:00,1300,31,28691000.0
/organization/mediabistro-inc,Mediabistro Inc.,http://corporate.mediabistro.com,Curated Web,6483366.0,ipo,USA,New York,1,1998-01-01 00:00:00.000000000,2011-05-25,2011-05-25,4892 days 00:00:00,44,28,10000000.0
/organization/mediabong,MEDIABONG,http://www.mediabong.com,Media|Semantic Search|Video,6333522.0,operating,USA,New York,2,2011-05-30 00:00:00.000000000,2012-04-01,2015-05-13,307 days 00:00:00,13,2,248000.0
/organization/mediaboost,MediaBoost,http://www.mediaboost.com,Advertising,6200000.0,operating,ISR,Or Yehuda,2,2003-11-24 20:46:43.240577680,2007-08-19,2008-06-30,1363 days 03:13:16.759422320,6,8,
/organization/mediabrix,MediaBrix,http://mediabrix.com,Advertising|Apps|Brand Marketing|Games|Mobile|Mobile Advertising|Sales and Marketing|Social Media|Tablets,11500000.0,operating,USA,New York,4,2011-05-05 00:00:00.000000000,2011-05-05,2013-10-01,0 days 00:00:00,2,19,
/organization/mediabunker,mediaBunker,http://mediabunker.com,missing,0.0,operating,NLD,Halfweg,1,2007-08-06 20:46:43.240577680,2011-05-01,2011-05-01,1363 days 03:13:16.759422320,2,4,557000.0
/organization/mediacore,MediaCore,http://mediacore.com,Content|Curated Web|Education|Mobile|Video|Video Streaming|Web CMS,6500000.0,acquired,CAN,Victoria,3,2010-01-01 00:00:00.000000000,2011-08-10,2015-02-23,586 days 00:00:00,2,2,15500000.0
/organization/mediacrossing-inc,MediaCrossing Inc.,http://www.mediacrossing.com,Advertising|Digital Media,6650000.0,operating,USA,Stamford,2,2012-12-01 00:00:00.000000000,2013-01-03,2013-10-27,33 days 00:00:00,4,19,17300000.0
/organization/mediafeedia,mediafeedia,http://mediafeedia.com,Advertising|Consulting|Software,575000.0,operating,USA,Savannah,1,2011-06-02 00:00:00.000000000,2014-01-09,2014-01-09,952 days 00:00:00,9,4,84000.0
/organization/mediafly,Mediafly,http://www.mediafly.com,Enterprise Software,10220000.0,operating,USA,Chicago,7,2006-07-29 00:00:00.000000000,2011-12-19,2015-06-22,1969 days 00:00:00,180,20,16000000.0
/organization/mediagamma,MediaGamma,http://www.mediagamma.com,Advertising Exchanges|Advertising Platforms,594224.0,operating,GBR,London,3,2014-01-30 00:00:00.000000000,2014-08-17,2015-04-01,199 days 00:00:00,5,2,5000000.0
/organization/mediahound,MediaHound,http://mediahound.com,Entertainment|Technology,5290000.0,operating,USA,Culver City,4,2011-08-01 00:00:00.000000000,2011-08-01,2014-10-20,0 days 00:00:00,15,9,4500000.0
/organization/mediainterface-dresden,MediaInterface Dresden,http://www.mediainterface.de,Software,1320000.0,operating,DEU,Dresden,1,1997-01-01 00:00:00.000000000,2006-12-20,2006-12-20,3640 days 00:00:00,33,5,6000000.0
/organization/mediakraft-t-rkiye,Mediakraft Networks,http://mediakraftnetworks.de,Online Video Advertising,22484005.0,operating,DEU,Cologne,1,2011-09-01 00:00:00.000000000,2014-07-10,2014-07-10,1043 days 00:00:00,69,0,2961000.0
/organization/medialab,MediaLAB,http://www.media.mit.edu/,Travel,10000000.0,operating,USA,Cambridge,1,1985-01-01 00:00:00.000000000,2014-10-01,2014-10-01,10865 days 00:00:00,660,61,
/organization/medialets,Medialets,http://www.medialets.com,Advertising|Media|Mobile,33400000.0,operating,USA,New York,5,2008-06-01 00:00:00.000000000,2009-05-12,2014-01-07,345 days 00:00:00,22,0,3740000.0
/organization/medialiftv,MediaLifTV,http://www.medialiftv.com/,Consumer Electronics,0.0,operating,USA,Irvine,1,2011-04-11 00:00:00.000000000,2014-07-15,2014-07-15,1191 days 00:00:00,34,5,2960000.0
