company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,country,number_of_technologies,revenue
/organization/10x-genomics,10X Genomics,http://10xgenomics.com,Biotechnology|Technology,55000000.0,operating,USA,Pleasanton,1,2012-01-01 00:00:00.000000000,2015-01-12,2015-01-12,1107 days 00:00:00,1900,United States,27,490490000
/organization/10x-technologies,10X Technologies,http://10xtechnologies.com,Biotechnology,3550000.0,operating,USA,Oakland,2,2012-01-01 00:00:00.000000000,2012-11-07,2015-01-12,311 days 00:00:00,0,United States,26,-
/organization/10x10-room,10X10 Room,http://10x10room.com,Software,77500.0,operating,USA,Lexington,1,2010-01-01 00:00:00.000000000,2011-10-12,2011-10-12,649 days 00:00:00,3,United States,9,-
/organization/11-health,11 Health,http://www.11health.com,Health and Wellness,1958909.0,operating,GBR,London,1,2011-11-25 20:46:43.240577680,2015-08-20,2015-08-20,1363 days 03:13:16.759422320,36,United States,18,2400000
/organization/115-network-disks,115 network disks,http://www.115.com/,EdTech|Education,0.0,operating,missing,missing,1,2008-02-06 20:46:43.240577680,2011-11-01,2011-11-01,1363 days 03:13:16.759422320,31,China,4,-
/organization/117go,117go,http://117go.com,Social Travel,20000000.0,operating,CHN,Shanghai,1,2011-10-01 00:00:00.000000000,2014-04-28,2014-04-28,940 days 00:00:00,1,China,0,-
/organization/11i-solutions,11i Solutions,http://www.11isolutions.com,Enterprise Software,1800000.0,closed,USA,Huntsville,1,2007-06-27 20:46:43.240577680,2011-03-22,2011-03-22,1363 days 03:13:16.759422320,0,United States,0,-
/organization/12-labs,12 Labs,http://www.getapplause.com/,Health and Wellness|Personal Health,935000.0,operating,USA,Palo Alto,1,2014-08-01 00:00:00.000000000,2014-11-26,2014-11-26,117 days 00:00:00,0,-,5,-
/organization/12-star-survival,12 Star Survival,http://www.12starsurvival.com,Sports,0.0,operating,DNK,Vinding,1,2013-07-17 00:00:00.000000000,2013-10-17,2013-10-17,92 days 00:00:00,10,-,0,10000000
/organization/120-sports,120 Sports,http://www.120sports.com,Sports,0.0,operating,USA,Chicago,1,2013-01-01 00:00:00.000000000,2014-02-20,2014-02-20,415 days 00:00:00,17,United States,4,7109000
/organization/121cast,121cast,http://www.121cast.com,Audio|Mobile|Music,440000.0,operating,AUS,Melbourne,3,2012-02-01 00:00:00.000000000,2012-05-01,2013-06-30,90 days 00:00:00,10,Australia,8,10000000
/organization/121nexus,121nexus,http://www.121nexus.com,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000.0,operating,USA,Providence,6,2011-10-07 00:00:00.000000000,2012-02-06,2014-01-01,122 days 00:00:00,-,-,0,-
/organization/1234enter,1234ENTER,http://www.1234enter.com.br,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267.0,operating,BRA,missing,2,2012-01-01 00:00:00.000000000,2012-09-01,2013-11-22,244 days 00:00:00,0,Brazil,0,-
