index,employee_count,country,number_of_technologies,annual_rev
30275,99,United States,26,26000000.0
30276,140,Canada,28,3500000.0
30277,37,United States,6,31338000.0
30279,0,Israel,15,
30280,300,United States,19,110000000.0
30281,7,United States,13,60000000.0
30282,3,United States,12,22666000.0
30283,640,United States,20,11607000.0
30284,130,United States,1,15610000.0
30285,4,United States,1,
30286,3,United States,14,332000.0
30288,2,United States,1,
30289,14,New Zealand,8,706000.0
30290,0,,8,
30291,40,United States,10,35000000.0
30292,1,United States,2,
30293,0,,1,
30294,10,United States,46,8800000.0
30295,31,United Kingdom,17,2500000.0
30296,190,United States,22,8884000.0
30297,10,United States,46,8800000.0
30298,61,United States,18,12500000.0
30299,0,United States,5,
30300,730,United States,16,600000000.0
30302,0,United States,5,2400000.0
30304,0,United States,0,
30305,39,India,17,1000000.0
30306,33,Argentina,3,169000.0
30307,10,United States,0,10000000.0
30308,3800,India,18,300000000.0
30309,47,Jordan,16,6000000.0
30303,210,United States,46,170200000.0
30311,49,United States,9,
30312,3,United States,7,200000.0
30313,2,United States,3,22941000.0
30314,110,China,7,230331000.0
30315,80,United States,0,1946000.0
30316,27,United States,21,24584000.0
30317,3,Lithuania,10,
30318,160,United States,25,100000000.0
30320,0,,2,
30321,3,United States,13,
30322,7,Spain,3,
30323,0,United States,6,
30324,0,United Kingdom,2,
30325,27,United Kingdom,14,16000000.0
30326,0,China,4,
30327,250,Canada,16,4608000.0
30328,0,United States,0,
30329,0,United States,0,
30330,0,United States,3,
30331,0,United States,3,2000000.0
30332,0,Spain,11,
30333,200,United States,2,3956000.0
30334,31,South Korea,9,58000.0
30335,3,United States,10,3498000.0
30336,0,United States,5,
30337,650,United States,30,250000000.0
30338,87,United States,13,18052000.0
30339,12,United States,13,2785000.0
30340,37,United States,5,7474000.0
30341,23,United States,8,9000000.0
30342,18,India,20,500000.0
30343,17,United States,15,1000000.0
30344,7,Spain,12,6000000.0
30345,0,United States,0,
30346,7700,United States,22,4231766000.0
30347,3,Australia,2,3000000.0
30348,3,United States,2,1500000.0
30349,140,United States,11,50000000.0
30350,5,United States,21,64500000.0
30351,0,United States,5,
30352,6,Philippines,18,2761000.0
30353,34,United States,12,4519000.0
30354,21,United States,14,10553000.0
30355,390,United States,20,2000000.0
30356,0,United States,0,
30357,30,United Kingdom,22,4080000.0
30358,6,United States,4,4956000.0
30359,4,South Korea,1,
30360,0,United States,3,
30362,19,Germany,14,3213000.0
30363,5,United States,5,153000.0
30364,4,United States,17,97800000.0
30365,1100,United States,1,70027000.0
30367,6,United States,29,6674000.0
30368,6,United States,2,446000.0
30369,0,United States,0,
30370,3,United States,2,
30371,10,United States,10,12455000.0
30372,25,United States,6,25000000.0
30373,1,United States,1,103000.0
30374,0,United States,0,
30375,3,United States,10,4420000.0
30376,1,United States,8,2400000.0
30377,0,United States,5,34000000.0
30378,1,France,7,
30379,8,United States,5,1000000.0
30380,380,United States,29,32000000.0
30381,2,United States,13,5932000.0
30382,37,United States,0,4054000.0
30383,2,United States,1,3922000.0
30384,0,United States,2,
30385,5,United States,3,7000000.0
30386,0,United States,4,2000000.0
30387,3,United States,6,4157000.0
30388,0,United States,3,
30389,41,India,5,1358000.0
30390,0,United States,0,
30391,0,United States,3,4200000.0
30392,8,India,19,310000.0
30393,1,United States,1,
30394,89,United States,2,22787000.0
30395,27,United States,13,2500000.0
30396,0,,2,2000000.0
30397,0,Germany,7,
30398,37,United States,1,3057000.0
30399,23,United States,20,38265000.0
30400,29,United States,0,3077000.0
30401,1,United States,6,7000000.0
30402,27,United States,11,4749000.0
30403,89,Sweden,25,3000000.0
30404,0,Spain,5,
30405,0,United States,0,
30406,0,United States,0,
30407,48,United States,21,12601000.0
30408,27,United States,1,1126000.0
30409,5,United States,17,4789000.0
30410,1,United States,2,36191000.0
